iid;id;gender;idg;condtn;wave;round;position;positin1;order;partner;pid;match;int_corr;samerace;age_o;race_o;pf_o_att;pf_o_sin;pf_o_int;pf_o_fun;pf_o_amb;pf_o_sha;dec_o;attr_o;sinc_o;intel_o;fun_o;amb_o;shar_o;like_o;prob_o;met_o;age;field;field_cd;undergra;mn_sat;tuition;race;imprace;imprelig;from;zipcode;income;goal;date;go_out;career;career_c;sports;tvsports;exercise;dining;museums;art;hiking;gaming;clubbing;reading;tv;theater;movies;concerts;music;shopping;yoga;exphappy;expnum;attr1_1;sinc1_1;intel1_1;fun1_1;amb1_1;shar1_1;attr4_1;sinc4_1;intel4_1;fun4_1;amb4_1;shar4_1;attr2_1;sinc2_1;intel2_1;fun2_1;amb2_1;shar2_1;attr3_1;sinc3_1;fun3_1;intel3_1;amb3_1;attr5_1;sinc5_1;intel5_1;fun5_1;amb5_1;dec;attr;sinc;intel;fun;amb;shar;like;prob;met;match_es;attr1_s;sinc1_s;intel1_s;fun1_s;amb1_s;shar1_s;attr3_s;sinc3_s;intel3_s;fun3_s;amb3_s;satis_2;length;numdat_2;attr7_2;sinc7_2;intel7_2;fun7_2;amb7_2;shar7_2;attr1_2;sinc1_2;intel1_2;fun1_2;amb1_2;shar1_2;attr4_2;sinc4_2;intel4_2;fun4_2;amb4_2;shar4_2;attr2_2;sinc2_2;intel2_2;fun2_2;amb2_2;shar2_2;attr3_2;sinc3_2;intel3_2;fun3_2;amb3_2;attr5_2;sinc5_2;intel5_2;fun5_2;amb5_2;you_call;them_cal;date_3;numdat_3;num_in_3;attr1_3;sinc1_3;intel1_3;fun1_3;amb1_3;shar1_3;attr7_3;sinc7_3;intel7_3;fun7_3;amb7_3;shar7_3;attr4_3;sinc4_3;intel4_3;fun4_3;amb4_3;shar4_3;attr2_3;sinc2_3;intel2_3;fun2_3;amb2_3;shar2_3;attr3_3;sinc3_3;intel3_3;fun3_3;amb3_3;attr5_3;sinc5_3;intel5_3;fun5_3;amb5_3 
106;13;1;26;2;4;18;9.5;0;9.5;9.5;84.5;0.111111111;0;0.166666667;26.83333333;2.944444444;14.94444444;18.94444444;22;16.88888889;13.94444444;13.27777778;0.277777778;5.111111111;7.666666667;7.722222222;6.277777778;6.555555556;3.888888889;6.222222222;4.666666667;2;22;0;1;0;0;0;3;1;3;0;0;0;5;7;3;0;1;2;4;2;9;6;5;4;9;2;9;8;7;9;2;8;5;3;5;2;10;20;35;10;5;20;0;0;0;0;0;0;20;15;20;20;5;20;4;7;3;9;2;0;0;0;0;0;0.5;8;8.333333333;7.722222222;6.5;6.944444444;3.722222222;6.777777778;4.5;2;4;0;0;0;0;0;0;0;0;0;0;0;8;3;3;0;0;0;0;0;0;15;30;30;10;5;10;0;0;0;0;0;0;0;0;0;0;0;0;5;9;9;5;2;0;0;0;0;0;0;1;1;0;0;20;20;35;5;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;9;3;4;0;0;0;0;0
107;14;1;28;2;4;18;9.5;0;9.5;9.5;84.5;0.611111111;0;0.555555556;26.83333333;2.944444444;14.94444444;18.94444444;22;16.88888889;13.94444444;13.27777778;0.666666667;6.888888889;8.055555556;8;8.111111111;6.611111111;6.777777778;7.5;5.722222222;2;21;0;7;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;15;1;30;2;4;18;9.5;0;9.5;9.5;84.5;0.222222222;0;0.555555556;26.83333333;2.944444444;14.94444444;18.94444444;22;16.88888889;13.94444444;13.27777778;0.555555556;7.166666667;7;7.5;6.777777778;6.944444444;6.111111111;6.666666667;5.611111111;1.944444444;24;0;5;0;0;0;2;1;1;0;0;0;1;6;3;0;5;7;3;4;5;6;7;3;2;5;7;3;7;7;4;6;2;2;5;2;10;20;35;20;0;15;0;0;0;0;0;0;25;25;15;15;10;10;4;8;3;7;2;0;0;0;0;0;0.388888889;7.166666667;7.166666667;6.777777778;6.722222222;5.833333333;4.111111111;6.111111111;4.166666667;1.944444444;3;0;0;0;0;0;0;0;0;0;0;0;7;1;2;0;0;0;0;0;0;10;10;40;30;0;10;0;0;0;0;0;0;0;0;0;0;0;0;3;8;6;4;2;0;0;0;0;0;0;2;1;0;0;5;25;45;5;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;6;2;2;0;0;0;0;0
109;16;1;32;2;4;18;9.5;0;9.5;9.5;84.5;0.444444444;0;0.166666667;26.83333333;2.944444444;14.94444444;18.94444444;22;16.88888889;13.94444444;13.27777778;0.444444444;5.833333333;7.555555556;7.944444444;7.222222222;7.277777778;5.722222222;6.888888889;5.111111111;2;25;0;14;0;0;0;4;1;1;0;0;0;1;4;1;0;6;2;1;2;10;10;10;1;2;2;10;5;7;10;10;10;5;3;5;3;15;10;30;10;5;30;0;0;0;0;0;0;20;15;15;15;20;15;6;9;8;9;8;0;0;0;0;0;0.888888889;7.444444444;10;7.833333333;7.111111111;7.166666667;5;7;5.055555556;2;2;0;0;0;0;0;0;0;0;0;0;0;6;1;2;0;0;0;0;0;0;20;15;25;15;5;20;0;0;0;0;0;0;0;0;0;0;0;0;6;9;9;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;17;1;34;2;4;18;9.5;0;9.5;9.5;84.5;0.222222222;0;0.555555556;26.83333333;2.944444444;14.94444444;18.94444444;22;16.88888889;13.94444444;13.27777778;0.277777778;5.5;6.055555556;7.055555556;6.833333333;6.833333333;5.277777778;5.833333333;4.444444444;2;28;0;14;0;0;0;2;4;6;0;0;0;2;6;1;0;6;4;3;8;7;7;9;8;2;3;7;5;7;9;7;8;3;6;6;3;20;20;15;15;5;25;0;0;0;0;0;0;20;20;15;15;5;25;7;9;8;8;7;0;0;0;0;0;0.333333333;6.222222222;6.722222222;8.111111111;6.666666667;7.277777778;3.111111111;5.611111111;4.111111111;2;3;0;0;0;0;0;0;0;0;0;0;0;6;1;2;0;0;0;0;0;0;30;10;10;20;10;20;0;0;0;0;0;0;0;0;0;0;0;0;7;9;9;8;8;0;0;0;0;0;1;0;0;0;0;20;15;20;15;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;10;8;8;0;0;0;0;0
111;18;1;36;2;4;18;9.5;0;9.5;9.5;84.5;0;0;0.166666667;26.83333333;2.944444444;14.94444444;18.94444444;22;16.88888889;13.94444444;13.27777778;0.111111111;4.777777778;7.222222222;7.5;5.777777778;6.722222222;4.277777778;5.833333333;5.166666667;2;27;0;8;0;0;0;4;7;1;0;0;0;5;5;1;0;7;9;9;7;9;10;9;9;1;5;9;5;8;9;8;5;3;5;9;1;20;20;20;20;10;10;0;0;0;0;0;0;25;20;15;15;10;15;5;8;5;8;5;0;0;0;0;0;0;4.777777778;6.111111111;6.388888889;4.944444444;5.388888889;4.833333333;4.944444444;3.944444444;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;1;0;1;1;5;10;6;0;5.5;5.5;126.5;0.6;0;0.1;18.7;3.2;38.5;17;16;13.5;6.2;8.8;0.8;7.9;7.3;7.5;7;6.2;6.4;7.4;5.9;1.9;20;0;3;0;0;0;6;1;1;0;0;0;1;3;1;0;11;8;3;8;5;7;8;8;8;9;9;3;8;8;9;10;4;6;4;4;15;15;20;25;10;15;0;0;0;0;0;0;45;15;10;20;0;5;9;10;9;9;9;0;0;0;0;0;0.7;6.4;6.8;7.2;6.2;7.3;6;6.2;5.9;1.9;8;0;0;0;0;0;0;0;0;0;0;0;5;1;2;0;0;0;0;0;0;20;10;15;20;15;20;0;0;0;0;0;0;0;0;0;0;0;0;9;10;9;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;2;0;3;1;5;10;9;0;5.5;5.5;126.5;0.3;0;0.5;18.7;3.2;38.5;17;16;13.5;6.2;8.8;0.4;6.4;6.7;7;6.6;6;6.1;6.5;5;1.8;21;0;8;0;0;0;2;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;3;0;5;1;5;10;7;0;5.5;5.5;126.5;0.1;0;0;18.7;3.2;38.5;17;16;13.5;6.2;8.8;0.2;5;6.8;7.1;5.5;5.5;4.6;5.5;3.8;1.8;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;4;0;7;1;5;10;1;0;5.5;5.5;126.5;0.3;0;0.5;18.7;3.2;38.5;17;16;13.5;6.2;8.8;0.5;6.5;5.7;5.9;6.5;5.8;6.2;6.3;5.2;1.4;21;0;3;0;0;0;2;10;7;0;0;0;1;5;1;0;3;2;2;8;7;3;3;1;1;8;10;2;2;6;4;7;8;1;3;12;20;10;30;20;15;5;0;0;0;0;0;0;40;10;20;20;0;10;8;7;8;9;8;0;0;0;0;0;0.3;6.3;8.4;8.5;7.1;8.3;5.8;6.2;6.4;1.4;3;0;0;0;0;0;0;0;0;0;0;0;6;3;2;0;0;0;0;0;0;20;5;30;20;10;15;0;0;0;0;0;0;0;0;0;0;0;0;8;8;9;8;7;0;0;0;0;0;0;0;0;0;0;20;10;30;20;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;10;9;8;0;0;0;0;0
116;5;0;9;1;5;10;8;0;5.5;5.5;126.5;0.4;0;0.5;18.7;3.2;38.5;17;16;13.5;6.2;8.8;0.6;6.7;6.1;6.5;6.3;6.3;6.2;6.5;5.5;1.7;21;0;13;0;0;0;2;4;1;0;0;0;1;1;1;0;10;5;4;3;10;10;10;6;4;8;10;10;10;10;10;10;10;8;7;20;15;15;25;25;20;0;0;0;0;0;0;0;30;5;10;30;5;20;8;9;8;9;9;0;0;0;0;0;0.6;7.2;8;7.8;6.8;7.5;4.6;7.2;6.7;1.7;4;0;0;0;0;0;0;0;0;0;0;0;6;3;3;0;0;0;0;0;0;30;10;10;30;10;10;0;0;0;0;0;0;0;0;0;0;0;0;9;9;8;9;8;0;0;0;0;0;0;2;1;0;0;15;15;20;20;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;9;8;9;0;0;0;0;0
117;6;0;11;1;5;10;2;0;5.5;5.5;126.5;0.1;0;0.5;18.7;3.2;38.5;17;16;13.5;6.2;8.8;0.5;7;6.5;6.7;6.7;6.7;6.3;6.9;5.1;1.6;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;10;0;17;1;5;10;5;0;5.5;5.5;126.5;0.5;0;0;18.7;3.2;38.5;17;16;13.5;6.2;8.8;0.8;7.9;7.6;7;6.8;6.7;5.3;7.4;5.6;2;19;0;16;0;0;0;3;5;2;0;901;0;1;3;1;0;1;8;5;8;9;9;9;5;8;10;9;5;10;9;10;10;7;8;4;15;50;15;10;10;10;5;0;0;0;0;0;0;70;5;5;10;5;5;8;10;10;10;10;0;0;0;0;0;0.6;4.6;7.7;6.8;5;5.1;2.4;5.7;7.6;1.5;5;0;0;0;0;0;0;0;0;0;0;0;5;1;3;0;0;0;0;0;0;50;10;10;10;5;15;0;0;0;0;0;0;0;0;0;0;0;0;8;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;11;0;19;1;5;10;3;0;5.5;5.5;126.5;0.4;0;0;18.7;3.2;38.5;17;16;13.5;6.2;8.8;0.7;7.8;6.6;7.5;7.3;6.9;6.2;7.2;7.1;1.9;20;0;6;0;0;0;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;12;0;20;1;5;10;10;0;5.5;5.5;126.5;0;0;0.5;18.7;3.2;38.5;17;16;13.5;6.2;8.8;0.2;4.8;6.5;7.2;4.8;5.4;4;4.5;5.2;2;21;0;3;0;0;0;2;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;1;1;2;1;5;10;5.5;0;5.5;6.1;104.7;0.3;0;0.1;18.4;2.3;20;12.5;19;21;12.3;5.2;0.7;7;7.9;7.4;7.6;6.6;6;7;4.3;1.4;22;0;1;0;0;0;6;1;1;0;0;0;1;3;1;0;1;7;9;7;9;7;6;5;6;6;6;8;7;8;8;8;5;4;6;10;40;15;10;20;5;10;0;0;0;0;0;0;50;10;10;10;10;10;7;10;8;8;8;0;0;0;0;0;0.4;8.2;9.4;8.7;8.5;8.5;8.4;8.8;5;1.6;4;0;0;0;0;0;0;0;0;0;0;0;5;3;3;0;0;0;0;0;0;50;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;8;10;8;8;8;0;0;0;0;0;1;0;1;0;0;50;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;8;8;8;0;0;0;0;0
123;2;1;4;1;5;10;5.5;0;5.5;6.1;104.7;0;0;0;18.4;2.3;20;12.5;19;21;12.3;5.2;0.4;5.1;7.8;6.5;5.2;6.2;3.9;5.3;4.9;1.5;18;0;5;0;0;0;4;3;5;0;0;0;2;5;1;0;4;9;9;8;8;3;2;5;5;6;2;7;2;7;7;7;7;5;5;1;50;10;20;5;5;10;0;0;0;0;0;0;20;50;10;5;5;10;8;7;7;7;8;0;0;0;0;0;0.1;5.9;5.3;5.5;4.8;5;5.1;4.7;2.3;1.9;0;0;0;0;0;0;0;0;0;0;0;0;5;1;2;0;0;0;0;0;0;80;4;5;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;3;1;6;1;5;10;5.5;0;5.5;6.1;104.7;0;0;0;18.4;2.3;20;12.5;19;21;12.3;5.2;0;3.4;5.1;6.2;2.1;7.6;1.1;2.1;4.5;1.5;22;0;8;0;0;0;4;1;1;0;0;0;2;4;1;0;1;5;5;8;10;8;8;6;5;8;8;6;9;9;9;8;8;7;6;10;40;10;10;10;10;20;0;0;0;0;0;0;20;30;10;10;20;10;8;8;10;10;10;0;0;0;0;0;0.9;6.1;5.9;6.1;5;5.5;5.8;7;6.6;1.8;6;0;0;0;0;0;0;0;0;0;0;0;6;1;3;0;0;0;0;0;0;50;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;8;7;10;8;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;4;1;8;1;5;10;5.5;0;5.5;6.1;104.7;0.7;0;0.5;18.4;2.3;20;12.5;19;21;12.3;5.2;0.8;7.2;7.5;7.7;7.6;7.4;6.1;7.2;5.6;1.1;21;0;4;0;0;0;2;3;1;0;0;0;1;3;1;0;4;3;1;9;10;9;10;1;1;10;9;2;9;9;9;9;10;7;6;4;20;15;20;15;12;18;0;0;0;0;0;0;25;10;15;15;15;20;9;6;10;9;10;0;0;0;0;0;0.7;8;7.8;7.4;7.7;7.3;6.9;7.2;7.2;1.5;6;0;0;0;0;0;0;0;0;0;0;0;7;3;2;0;0;0;0;0;0;20;10;25;15;10;20;0;0;0;0;0;0;0;0;0;0;0;0;9;7;9;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;5;1;10;1;5;10;5.5;0;5.5;6.1;104.7;0.2;0;0.5;18.4;2.3;20;12.5;19;21;12.3;5.2;0.3;5.5;7.2;7.7;6.1;7.1;5.1;6.3;5.1;1.4;22;0;7;0;0;0;2;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;6;1;12;1;5;10;5.5;0;5.5;6.1;104.7;0.4;0;0.5;18.4;2.3;20;12.5;19;21;12.3;5.2;0.5;6.6;5.3;5.5;5.5;5.5;4.6;5.1;4.8;1.6;22;0;5;0;0;0;2;1;1;0;0;0;6;5;1;0;6;10;8;8;8;5;3;5;5;6;1;7;1;5;8;7;5;10;1;20;25;25;25;15;5;5;0;0;0;0;0;0;20;20;20;20;10;10;8;8;9;9;8;0;0;0;0;0;0.6;7;6.4;7.1;6.1;6.2;5;6.4;7.5;1.8;7;0;0;0;0;0;0;0;0;0;0;0;5;1;3;0;0;0;0;0;0;40;10;10;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;8;5;10;10;8;0;0;0;0;0;0;0;0;0;0;40;20;20;10;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;8;0;0;0;0;0
128;7;1;14;1;5;10;5.5;0;5.5;6.1;104.7;0.6;0;0.5;18.4;2.3;20;12.5;19;21;12.3;5.2;0.7;6.8;7.6;6.5;5.5;5.3;4;6.5;5;1.8;21;0;5;0;0;0;2;3;1;0;0;0;1;3;2;0;5;8;7;7;6;4;4;8;7;3;5;3;4;8;10;10;2;2;5;13;40;15;10;20;10;5;0;0;0;0;0;0;25;15;20;20;10;10;8;7;7;8;7;0;0;0;0;0;0.9;7.9;8.3;8.3;8.3;8;7.2;7.4;7.8;2;7;0;0;0;0;0;0;0;0;0;0;0;5;1;2;0;0;0;0;0;0;30;15;15;20;10;10;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;7;0;0;0;0;0;0;1;0;0;0;50;10;10;20;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;9;8;7;0;0;0;0;0
129;8;1;15;1;5;10;5.5;0;5.5;6.1;104.7;0.3;0;0.5;18.4;2.3;20;12.5;19;21;12.3;5.2;0.3;5.6;7.1;5.6;5.3;5.8;4.8;5.8;5.5;1.8;0;0;8;0;0;0;2;1;1;0;0;0;3;3;3;0;7;7;4;7;9;4;5;9;2;6;9;4;4;7;6;6;4;6;10;10;40;20;20;20;0;0;0;0;0;0;0;0;40;21;10;10;10;10;8;8;8;8;8;0;0;0;0;0;0.8;7.8;7.6;8.8;8.4;6.4;5.6;7.6;7.5;2;5;0;0;0;0;0;0;0;0;0;0;0;6;3;3;0;0;0;0;0;0;30;5;20;30;5;10;0;0;0;0;0;0;0;0;0;0;0;0;8;7;8;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;9;1;16;1;5;10;5.5;0;5.5;6.1;104.7;0.2;0;0;18.4;2.3;20;12.5;19;21;12.3;5.2;0.7;6.6;7.9;6.9;5.9;6.1;3.9;6.5;4.7;1.8;20;0;5;0;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;10;1;18;1;5;10;5.5;0;5.5;6.1;104.7;0;0;0;18.4;2.3;20;12.5;19;21;12.3;5.2;0.1;3.1;5.5;4.7;2.8;3.8;1;3.2;3.5;1.6;19;0;5;0;0;0;4;4;1;0;0;0;2;7;3;0;10;5;1;5;5;5;5;3;6;4;8;7;6;8;7;6;5;3;5;0;25;10;20;20;10;15;0;0;0;0;0;0;30;10;20;20;10;10;4;6;4;6;6;0;0;0;0;0;0;4.5;4.3;5;4.4;4.4;3.2;3.6;0.7;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;20;20;10;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;0;0;0;0;0
234;1;0;1;1;10;9;8;8;5;5;247;0;0;0.444444444;28.33333333;4;22.11111111;19.55555556;18.22222222;17.11111111;9.333333333;13.66666667;0.444444444;5.888888889;7.888888889;7.111111111;6;5.666666667;3.111111111;6.222222222;5;2;22;0;3;0;0;0;6;1;5;0;0;0;3;7;3;0;2;5;3;10;10;9;5;2;1;4;9;5;6;5;5;9;7;4;5;0;20;20;20;10;10;20;10;20;20;20;15;15;75;1;1;3;10;10;7;7;8;8;10;9;6;9;6;10;0.333333333;4.777777778;7.111111111;7.888888889;5.777777778;6.777777778;4.222222222;5.111111111;2.777777778;0;1;30;20;20;10;10;5;8;10;9;10;10;5;1;3;0;0;0;0;0;0;20;15;20;20;15;10;25;20;15;20;10;10;50;5;5;20;10;10;8;9;9;9;10;9;6;9;7;10;0;0;0;0;0;15;10;20;20;15;20;25;15;15;20;15;10;15;15;20;10;20;20;50;10;10;10;10;10;9;10;9;8;10;9;10;10;7;10
235;2;0;3;1;10;9;1;1;5;5;247;0.222222222;0;0.444444444;28.33333333;4;22.11111111;19.55555556;18.22222222;17.11111111;9.333333333;13.66666667;0.888888889;7.888888889;7.555555556;7;7.444444444;4.555555556;3.777777778;7.222222222;6.111111111;2;23;0;9;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
236;3;0;5;1;10;9;2;2;5;5;247;0;0;0.111111111;28.33333333;4;22.11111111;19.55555556;18.22222222;17.11111111;9.333333333;13.66666667;0.111111111;5.555555556;6.888888889;6.444444444;4.111111111;4.555555556;2.888888889;5;4.111111111;2;24;0;10;0;0;0;4;3;3;0;0;0;2;7;1;0;2;9;6;3;7;9;9;7;1;8;7;5;4;7;4;10;4;2;7;0;15;20;15;20;15;15;25;15;15;20;15;10;30;10;10;30;10;10;7;9;10;8;8;8;9;8;10;9;0.444444444;5.222222222;6.444444444;6.888888889;5.888888889;7.666666667;5.777777778;6.666666667;7;0;4;15;15;20;20;15;15;7;9;8;10;9;6;3;3;0;0;0;0;0;0;20;15;20;25;10;10;25;10;10;15;20;20;25;10;15;20;15;15;7;9;8;10;8;7;8;8;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
